Object_Id  Timestamp Type Lat Lng 

0 0 newpoint 30.978855 121.127355
1 0 newpoint 31.340755 121.609764
2 0 newpoint 31.196276 121.480871
3 0 newpoint 31.174169 121.467455
4 0 newpoint 31.25359 121.468246
5 0 newpoint 31.275378 121.188133
6 0 newpoint 31.288366 121.486312
7 0 newpoint 31.075328 121.497576
8 0 newpoint 31.269869 121.287056
9 0 newpoint 31.153875 121.524849
10 0 newpoint 31.287834 121.298203
11 0 newpoint 31.280072 121.13929
12 0 newpoint 31.227073 121.356823
13 0 newpoint 31.268311 121.220842
14 0 newpoint 31.261069 121.599236
15 0 newpoint 31.327131 121.058098
16 0 newpoint 31.044932 121.34335
17 0 newpoint 31.271854 121.220888
18 0 newpoint 31.322629 121.537351
19 0 newpoint 30.962824 121.074193
20 0 newpoint 31.259792 121.495053
21 0 newpoint 31.326589 121.517332
22 0 newpoint 31.294806 121.507464
23 0 newpoint 31.317105 121.5084
24 0 newpoint 31.165681 121.477179
25 0 newpoint 30.991307 121.126885
26 0 newpoint 31.176595 121.240772
27 0 newpoint 31.239996 121.561749
28 0 newpoint 31.22598 121.536504
29 0 newpoint 31.224214 121.324148
30 0 newpoint 31.282301 121.148636
31 0 newpoint 31.172861 121.474775
32 0 newpoint 31.291447 121.290494
33 0 newpoint 31.338423 121.509535
34 0 newpoint 31.298768 121.501115
35 0 newpoint 31.225467 121.465267
36 0 newpoint 31.32932 121.528861
37 0 newpoint 31.30462 121.334413
38 0 newpoint 31.268731 121.446859
39 0 newpoint 31.315809 121.510635
40 0 newpoint 31.232532 121.520531
41 0 newpoint 30.948549 121.304275
42 0 newpoint 31.339957 121.183836
43 0 newpoint 31.311846 121.639767
44 0 newpoint 31.327904 121.527101
45 0 newpoint 31.23003 121.437134
46 0 newpoint 31.28259 121.553688
47 0 newpoint 31.246256 121.484776
48 0 newpoint 31.324288 121.629107
49 0 newpoint 31.269087 121.226548
50 0 newpoint 31.276729 121.49704
51 0 newpoint 30.982259 121.103403
52 0 newpoint 31.212803 121.424854
53 0 newpoint 31.002203 121.440767
54 0 newpoint 31.157065 121.467722
55 0 newpoint 31.252211 121.467216
56 0 newpoint 31.235381 121.525579
57 0 newpoint 31.085309 121.295059
58 0 newpoint 30.914621 121.451295
59 0 newpoint 31.165014 121.284715
60 0 newpoint 31.235373 121.549742
61 0 newpoint 31.309112 121.541228
